title,brand,product name,keywords,new_price,old_price,discount,shades,rating_count,review_count,weight,weight_ml,weight_g,item,subitem,rating
Daily Life Forever52 Pro Artist Ultra Definition Liquid Foun...,Daily,Life Forever52 Pro Artist Ultra Definition Liquid Foun...,,1619,1799,0.10,12,15640,688,60ml,60,,Foundation,Face,4.4
Charlotte Tilbury Matte Revolution,Charlotte,Tilbury Matte Revolution,,3450,,,16,66963,1086,3.5g,,3.5,Lipstick,Lips,4.4
Estee Lauder Double Wear Stay-In-Place Makeup Mini Foundatio...,Estee,Lauder Double Wear Stay-In-Place Makeup Mini Foundatio...,AD,2040,2400,0.15,7,21679,767,15ml,15,,Foundation,Face,4.4
Nykaa Smudgeproof Kajal Eyeliner Pencil - Lasts Upto 24 Hour...,Nykaa,Smudgeproof Kajal Eyeliner Pencil - Lasts Upto 24 Hour...,NEW,129,199,0.35,2,81354,2801,0.3gm,,0.3,Kajal,Eyes,4.3
"LOreal Paris Infallible Matte Resistance Lipstick, Transfer ...",LOreal,"Paris Infallible Matte Resistance Lipstick, Transfer ...",,749,999,0.25,14,9028,1314,5g,,5,Liquid Lipstick,Lips,4.3
ETUDE Dear Darling Water Gel Lip and Cheek Tint Lipstick,ETUDE,Dear Darling Water Gel Lip and Cheek Tint Lipstick,BEST IN BEAUTY,405,450,0.10,7,15766,2302,9g,,9,Lip Tint,Lips,4.3
"Dot & Key Strawberry Dew Melt-in-a-Flash Cleansing Balm, Wit...",Dot,"& Key Strawberry Dew Melt-in-a-Flash Cleansing Balm, Wit...",AD,449,499,0.10,,,,,15,,,,
Swiss beauty Full Coverage Liquid Concealer With Jojoba Oil,Swiss,beauty Full Coverage Liquid Concealer With Jojoba Oil,,229,249,0.08,14,748202,7137,5.6gm,,5.6,Concealer,Face,4.4
Maybelline New York Super Stay Lumi-Matte Liquid Foundation,Maybelline,New York Super Stay Lumi-Matte Liquid Foundation,BEST IN BEAUTY,561,825,0.32,15,11791,1244,35ml,35,,Foundation,Face,4.4
MARS Dance Of Joy Eyeshadow Palette,MARS,Dance Of Joy Eyeshadow Palette,,278,299,0.07,3,24870,1452,13.2 g,,13.2,Eye Shadow,Eyes,4.4
M.A.C Studio Fix Powder Plus 24-Hour Oil Control Compact Fou...,M.A.C,Studio Fix Powder Plus 24-Hour Oil Control Compact Fou...,AD,3026,3400,0.11,60,762717,1937,12g,,12,Compact,Face,4.4
"Lakme Forever Matte Liquid Lip Color, 16Hr Lipstick, Lightwe...",Lakme,"Forever Matte Liquid Lip Color, 16Hr Lipstick, Lightwe...",NYKAA_WALI_SHAADI,383,450,0.15,49,228119,10600,5.6ml,5.6,,Liquid Lipstick,Lips,4.4
Nykaa Matte to Last No Transfer Long Lasting Lipstick,Nykaa,Matte to Last No Transfer Long Lasting Lipstick,,539,599,0.10,25,1156,341,3.5g,,3.5,Lipstick,Lips,4.4
"Swiss Beauty Real Make-Up Base Highlighting Primer , Brighte...",Swiss,"Beauty Real Make-Up Base Highlighting Primer , Brighte...",,395,429,0.08,3,110078,2998,32ml,32,,Highlighters,Face,4.4
"Maybelline New York High Impact Tattoo Pen Liner, Lasts Up T...",Maybelline,"New York High Impact Tattoo Pen Liner, Lasts Up T...",AD,488,650,0.25,,15118,1287,1g,,1,Eyeliner,Eyes,4.3
Maybelline New York Superstay Teddy Tint - Lip And Cheek Col...,Maybelline,New York Superstay Teddy Tint - Lip And Cheek Col...,,562,749,0.25,21,4602,1497,5ml,5,,Lip Tint,Lips,4.3
Kay Beauty Quick Dry Liquid Eyeliner,Kay,Beauty Quick Dry Liquid Eyeliner,,479,599,0.20,8,200997,2924,3ml,3,,Eyeliner,Eyes,4.4
MARS Edge Of Desire Lip Liner,MARS,Edge Of Desire Lip Liner,,69,,,20,47990,4599,1.4 g,,1.4,Lip Liner,Lips,4.5
Ponds Natural Glow Face Powder - Pink Glow,Ponds,Natural Glow Face Powder - Pink Glow,AD,122,135,0.10,,14208,978,30g,,30,Loose Powder,Face,4.3
e.l.f. Cosmetics Halo Glow Liquid Filter,e.l.f.,Cosmetics Halo Glow Liquid Filter,BEST IN BEAUTY,1950,,,8,9106,1271,31.5ml,31.5,,Highlighters,Face,4.4
Swiss Beauty Long Lasting Professional Makeup Fixer Setting ...,Swiss,Beauty Long Lasting Professional Makeup Fixer Setting ...,,266,289,0.08,,105298,5855,70 ml,70,,Setting Spray,Face,4.4
Maybelline New York Fit Me Matte + Poreless 16H Oil Control ...,Maybelline,New York Fit Me Matte + Poreless 16H Oil Control ...,,191,239,0.20,6,219078,5730,6g,,6,Compact,Face,4.4
d'you Good Grease Twist Easy Cleansing Balm,d'you,Good Grease Twist Easy Cleansing Balm,AD,2000,,,,45,13,50ml,50,,Cleansing Oils & Balm,Cleansers,4.5
Nykaa Cosmetics Eyes On Me! 4 In 1 Quad Eyeshadow Palette,Nykaa,Cosmetics Eyes On Me! 4 In 1 Quad Eyeshadow Palette,,281,375,0.25,12,507448,1813,5gm,,5,Eye Shadow,Eyes,4.4
