title,brand,product name,keywords,new_price,old_price,discount,shades,rating_count,review_count,weight,weight_ml,weight_g,item,subitem,rating
Faces Canada Comfy Silk Obsession Lipstick,Faces,Canada Comfy Silk Obsession Lipstick,,899,1199,0.25,11,84,71,4g,,4,Lipstick,Lips,4.9
Renee Cosmetics Hyper Gel Nail Paint,Renee,Cosmetics Hyper Gel Nail Paint,,125,149,0.16,24,1716,129,10ml,10,,Nail Polish,Nails,4.3
SUGAR POP Volumizing Mascara Black - 9 ml Clump-free Volumiz...,SUGAR,POP Volumizing Mascara Black - 9 ml Clump-free Volumiz...,,283,329,0.14,,6741,287,9ml,9,,Mascara,Eyes,4.2
"PAC Studio Lip Pencil Vault Set of 10 - Creamy Non Drying, L...",PAC,"Studio Lip Pencil Vault Set of 10 - Creamy Non Drying, L...",,995,,,,670,45,3.8g,,3.8,Lip Liner,Lips,4.4
Lakme 9to5 Hya Matte Foundation + Hyaluronic Acid,Lakme,9to5 Hya Matte Foundation + Hyaluronic Acid,,809,899,0.10,19,930234,3763,25ml,25,,Foundation,Face,4.4
Yves Saint Laurent Rouge Pur Couture The Slim Radical Lipsti...,Yves,Saint Laurent Rouge Pur Couture The Slim Radical Lipsti...,,4000,,,8,51,10,2g,,2,Lipstick,Lips,4.4
M.A.C Powder Blush,M.A.C,Powder Blush,,3100,,,3,8904,85,6g,,6,Blush,Face,4.5
L'Oreal Paris Brow Lamination Mascara,L'Oreal,Paris Brow Lamination Mascara,,849,999,0.15,,9,4,5ml,5,,Mascara,Eyes,4.3
e.l.f. Cosmetics Putty Blush,e.l.f.,Cosmetics Putty Blush,,950,,,6,1873,200,10g,,10,Blush,Face,4.4
Swiss Beauty CRAZE Duo 2 In 1 Satin Matte Finish Lipstick No...,Swiss,Beauty CRAZE Duo 2 In 1 Satin Matte Finish Lipstick No...,,275,299,0.08,5,753,60,2g,,2,Lipstick,Lips,4.2
L.A. Girl HD Pro Face Pressed Powder,L.A.,Girl HD Pro Face Pressed Powder,,705,850,0.17,12,13221,167,7gm,,7,Compact,Face,4.4
SUGAR Bling Leader Illuminating Moisturizer Strobe Cream wit...,SUGAR,Bling Leader Illuminating Moisturizer Strobe Cream wit...,,636,699,0.09,3,7350,386,25ml,25,,Highlighters,Face,4.3
M.A.C Connect In Colour Eye Shadow Palette X12,M.A.C,Connect In Colour Eye Shadow Palette X12,,5950,,,2,77,10,12.2 g,,12.2,Eye Shadow,Eyes,4.4
FAE Beauty Modern Matte Lipstick,FAE,Beauty Modern Matte Lipstick,,450,600,0.25,10,59,28,3.5g,,3.5,Lipstick,Lips,4.7
Clinique Even Better All-Over Concealer + Eraser,Clinique,Even Better All-Over Concealer + Eraser,,3100,,,11,2130,30,6ml,6,,Concealer,Face,4.5
Rom&nd Glasting Water Tint,Rom&nd,Glasting Water Tint,,890,,,4,765,112,4 g,,4,Lip Gloss,Lips,4.5
Revlon Colorstay Suede Ink Lipstick,Revlon,Colorstay Suede Ink Lipstick,,1499,,,11,1146,124,2.5g,,2.5,Lipstick,Lips,4.3
M.A.C MACximal Satin Nude Lipstick,M.A.C,MACximal Satin Nude Lipstick,,2550,,,4,18,8,3.5g,,3.5,Lipstick,Lips,4.7
Kay Beauty x Falguni Shane Peacock Luxe Matte Lipstick - Peo...,Kay,Beauty x Falguni Shane Peacock Luxe Matte Lipstick - Peo...,NEW,1799,,,,87,45,4.2g,,4.2,Lipstick,Lips,4.7
MILK MAKEUP Lip + Cheek,MILK,MAKEUP Lip + Cheek,NEW,3200,,,9,1,,6g,,6,Blush,Face,5
Bobbi Brown Crushed Lip Color Mini,Bobbi,Brown Crushed Lip Color Mini,,1700,,,1,1997,225,2.25g,,2.25,Lipstick,Lips,4.2
Revlon Nail Enamel,Revlon,Nail Enamel,,249,,,17,224284,341,8ml,8,,Nail Polish,Nails,4.4
M.A.C Glow Play Cushiony Blush,M.A.C,Glow Play Cushiony Blush,,3800,,,10,33,3,7.3g,,7.3,Blush,Face,4.1
Faces Canada GlowLock Trio Hydra Mini Foundation Absolute Iv...,Faces,Canada GlowLock Trio Hydra Mini Foundation Absolute Iv...,,1025,1273,0.19,,58740,1287,3pcs,,,Makeup Combos,Makeup Kits & Combos,4.3
Keya Seth Aromatherapy 100% Natural Sindoor Powder,Keya,Seth Aromatherapy 100% Natural Sindoor Powder,,135,165,0.18,2,4590,180,3 g,,3,Sindoor,Face,4.3
DIOR Forever Glow Star Filter,DIOR,Forever Glow Star Filter,,5500,,,10,8,2,30ml,30,,Foundation,Face,4.6
Nykaa Glitter Nail Enamel - Dripping Gold 461,Nykaa,Glitter Nail Enamel - Dripping Gold 461,,212,249,0.15,,10307,1084,9ml,9,,Nail Polish,Nails,4.4
Charlotte Tilbury Supernudes Spotlight Lip & Cheek Kit,Charlotte,Tilbury Supernudes Spotlight Lip & Cheek Kit,NEW,3285,3650,0.10,,3,1,3pcs,,,Makeup Kits,Makeup Kits & Combos,3.3
DIAM BEAUTY Draw Me In Lip Marker,DIAM,BEAUTY Draw Me In Lip Marker,,594,699,0.15,5,34,9,2.5ml,2.5,,Lip Liner,Lips,3.9
Kay Beauty Soft Matte Pressed Powder - 140P Medium,Kay,Beauty Soft Matte Pressed Powder - 140P Medium,NEW,1199,,,,103,39,12g,,12,Compact,Face,4.7
Swiss Beauty Oil Control Compact Powder,Swiss,Beauty Oil Control Compact Powder,,395,429,0.08,4,3757,142,20g,,20,Compact,Face,4.3
Bronson Professional Foundation Brush,Bronson,Professional Foundation Brush,,100,200,0.50,,1230,103,,,,Face Brush,Tools & Brushes,4
Lakme Facelift Foundation Stick,Lakme,Facelift Foundation Stick,,975,,,7,313,97,11 g,,11,Foundation,Face,4.4
Nykaa Cosmetics So Creme Bestseller Creamy Matte Lipstick Du...,Nykaa,Cosmetics So Creme Bestseller Creamy Matte Lipstick Du...,,428,658,0.35,,4207700,16429,2 pcs,,,Combos @ Nykaa,Kits & Combos,4.3
House Of Makeup Spot On Color Corrector,House,Of Makeup Spot On Color Corrector,,539,599,0.10,3,204,33,12ml,12,,Concealer,Face,4.3
HYUE Gel FX Nail Paint,HYUE,Gel FX Nail Paint,,269,299,0.10,22,73,35,8ml,8,,Nail Polish,Nails,4.6
Daily Life Forever52 Fix Quickly Makeup Setting Spray,Daily,Life Forever52 Fix Quickly Makeup Setting Spray,,584,649,0.10,,1892,74,60ml,60,,Setting Spray,Face,4.2
Colorbar Definer Lip Liner,Colorbar,Definer Lip Liner,,594,699,0.15,5,10463,90,1.45g,,1.45,Lip Liner,Lips,4.4
Anastasia Beverly Hills Lip Liner,Anastasia,Beverly Hills Lip Liner,,1098,2200,0.50,8,104,23,1.49 g,,1.49,Lip Liner,Lips,4.4
RAS Luxury Oils Radiance Glo Tint 7-In-1 Serum Skin Perfecto...,RAS,Luxury Oils Radiance Glo Tint 7-In-1 Serum Skin Perfecto...,,2392,2990,0.20,9,43,37,30ml,30,,Foundation,Face,4.9
Milani Color Fetish Hydrating Lip Stain,Milani,Color Fetish Hydrating Lip Stain,,1480,1850,0.20,6,27,13,5.2ml,5.2,,Lip Tint,Lips,4.7
Benefit Cosmetics Benetint Rose-Tinted Lip & Cheek Stain,Benefit,Cosmetics Benetint Rose-Tinted Lip & Cheek Stain,,3450,,,1,13792,872,10ml,10,,Lip Tint,Lips,4.3
Blue Heaven Pop & Glow Blush,Blue,Heaven Pop & Glow Blush,,206,275,0.25,4,1198,121,12ml,12,,Blush,Face,4.4
"Insight Cosmetics Creamy Lip & Cheek Tint, Multi-Use,Long We...",Insight,"Cosmetics Creamy Lip & Cheek Tint, Multi-Use,Long We...",,212,235,0.10,4,1334,139,7.5 g,,7.5,Lip Tint,Lips,4.2
Soulflower Olive Oil for Shiny & Plump Skin Primer for Gloss...,Soulflower,Olive Oil for Shiny & Plump Skin Primer for Gloss...,,329,350,0.06,,111264,1810,225ml,225,,Stretch Mark Creams & Oils,For Moms,4.4
Nykaa Cosmetics Gold Rush Nail Lacquer,Nykaa,Cosmetics Gold Rush Nail Lacquer,,187,249,0.25,5,31842,583,9ml,9,,Nail Polish,Nails,4.4
Estee Lauder Futurist Hydra Rescue Moisturizing Makeup SPF 4...,Estee,Lauder Futurist Hydra Rescue Moisturizing Makeup SPF 4...,,4950,,,14,153,15,35ml,35,,Foundation,Face,4.2
"RENEE Holographic Monochrome Eyeliner Smudge-Proof, Long-Las...",RENEE,"Holographic Monochrome Eyeliner Smudge-Proof, Long-Las...",,415,499,0.17,6,150,56,0.4g,,0.4,Eyeliner,Eyes,4.5
Estee Lauder Futurist Hydra Rescue Moisturizing Makeup SPF 4...,Estee,Lauder Futurist Hydra Rescue Moisturizing Makeup SPF 4...,,4950,,,14,153,15,35ml,35,,Foundation,Face,4.2
Nudestix Stax All Over Color Blush Balm,Nudestix,Stax All Over Color Blush Balm,,2000,2500,0.20,8,62,31,2.5g,,2.5,Blush,Face,4.6
Blue Heaven Non Transfer Matte Lip Color,Blue,Heaven Non Transfer Matte Lip Color,,86,90,0.05,3,178,38,2.8ml,2.8,,Liquid Lipstick,Lips,4.1
Colors Queen Gold Glow Makeup Fixer Spray,Colors,Queen Gold Glow Makeup Fixer Spray,,310,449,0.31,,149,28,100ml,100,,Setting Spray,Face,4.2
Yves Saint Laurent Lines Liberated Waterproof Eye Pencil,Yves,Saint Laurent Lines Liberated Waterproof Eye Pencil,,2900,,,4,11,6,1.2 g,,1.2,Eyeliner,Eyes,4.8
Clinique Even Better Clinical Vitamin Makeup SPF 50,Clinique,Even Better Clinical Vitamin Makeup SPF 50,,4100,,,18,7,3,30ml,30,,Foundation,Face,4.3
Estee Lauder Pure Color Explicit Slick Shine Lipstick,Estee,Lauder Pure Color Explicit Slick Shine Lipstick,,3500,,,11,29,7,0.6 g,,0.6,Lipstick,Lips,4.6
"Pilgrim Matte Mini Liquid Lipstick 4 In 1 Pack Smudgeproof, ...",Pilgrim,"Matte Mini Liquid Lipstick 4 In 1 Pack Smudgeproof, ...",,633,745,0.15,4,73,32,4ml,4,,Liquid Lipstick,Lips,4.4
Revlon ColorStay Overtime Lipcolor,Revlon,ColorStay Overtime Lipcolor,,1300,,,8,12192,65,2ml Each,2,,Liquid Lipstick,Lips,4.2
"Lakme Be-Jewel Multichrome Eyeshadow Palette, 10 Shimmery Sh...",Lakme,"Be-Jewel Multichrome Eyeshadow Palette, 10 Shimmery Sh...",,1349,1499,0.10,2,11,4,12g,,12,Eye Shadow,Eyes,4.2
ICONIC London Prep Set,ICONIC,London Prep Set,,2950,,,2,103,17,120ml,120,,Setting Spray,Face,4.4
PAC Spotlight Cushion Foundation,PAC,Spotlight Cushion Foundation,NEW,896,995,0.10,9,6,1,11g,,11,Foundation,Face,4.2
Daily Life Forever52 Coverup Foundation,Daily,Life Forever52 Coverup Foundation,,1679,2099,0.20,7,550,26,30ml,30,,Foundation,Face,4.1
Kryolan Translucent Powder,Kryolan,Translucent Powder,,1800,,,3,637,18,60 g,,60,BB & CC Cream,Face,4.4
Sanfe Eyebrow Filler Pen Black,Sanfe,Eyebrow Filler Pen Black,,149,169,0.12,,169,39,1ml,1,,Eye Brow Enhancers,Eyes,4.1
Bobbi Brown Vitamin Enriched Skin Tint,Bobbi,Brown Vitamin Enriched Skin Tint,,5050,,,8,77,9,50ml,50,,Tinted Moisturizer,Face,4.3
NARS Ethereal Aura Blush Palette - New Realm,NARS,Ethereal Aura Blush Palette - New Realm,NEW,5200,,,,,,1 pcs,,,Blush,Face,
Love Earth Multipot Lip and Cheek Tint,Love,Earth Multipot Lip and Cheek Tint,,269,599,0.55,9,20538,1622,8 g,,8,Lip Tint,Lips,4.3
"PAC Lower Lash Mascara - Micro Bristles to Coat Tiny Lashes,...",PAC,"Lower Lash Mascara - Micro Bristles to Coat Tiny Lashes,...",,595,,,,667,41,2gm,,2,Mascara,Eyes,4.1
Swiss Beauty Select Dare To Matte Lipstick,Swiss,Beauty Select Dare To Matte Lipstick,,478,520,0.08,12,70,14,3.8g,,3.8,Lipstick,Lips,4
O.P.I Infinite Shine Nail Polish,O.P.I,Infinite Shine Nail Polish,,764,899,0.15,29,103,34,15ml,15,,Nail Polish,Nails,4.4
"Benefit Cosmetics Precisely, My Brow Wax",Benefit,"Cosmetics Precisely, My Brow Wax",,2800,,,10,17,4,5g,,5,Eye Brow Enhancers,Eyes,4.3
"Lakme Absolute Gloss Artist Eye Liner, Long Lasting, Smudgep...",Lakme,"Absolute Gloss Artist Eye Liner, Long Lasting, Smudgep...",,639,799,0.20,,994,118,2.5ml,2.5,,Eyeliner,Eyes,4.4
Daily Life Forever5ensational SPF 50+ Foundation,Daily,Life Forever5ensational SPF 50+ Foundation,,599,749,0.20,8,85,8,30ml,30,,Foundation,Face,4.5
DIAM BEAUTY All Over You Multistick,DIAM,BEAUTY All Over You Multistick,,849,999,0.15,5,90,15,7g,,7,Blush,Face,4.5
Charlotte Tilbury Supernudes Plumpgasm - Pink Diamonds,Charlotte,Tilbury Supernudes Plumpgasm - Pink Diamonds,NEW,3103,3650,0.15,,6,2,5.5ml,5.5,,Lip Plumper,Lips,5
Benefit Cosmetics Plushtint Matte Lip Tint,Benefit,Cosmetics Plushtint Matte Lip Tint,,2850,,,10,22,9,6ml,6,,Lip Tint,Lips,4.6
Typsy Beauty Twist & Pout Lipstick And Lip Liner,Typsy,Beauty Twist & Pout Lipstick And Lip Liner,NEW,719,799,0.10,6,109,17,1g,,1,Lipstick,Lips,4
"Lakme Facelift Brow Sculpt Palette With Dual Applicator, Nat...",Lakme,"Facelift Brow Sculpt Palette With Dual Applicator, Nat...",,743,825,0.10,,102,19,4.5 g,,4.5,Eye Brow Enhancers,Eyes,4.4
Renee Cosmetics Makeup Fix Setting Spray,Renee,Cosmetics Makeup Fix Setting Spray,,355,399,0.11,,2366,112,60ml,60,,Setting Spray,Face,4.3
Kryolan Dermacolor Camouflage Cream - 1W 6W,Kryolan,Dermacolor Camouflage Cream - 1W 6W,,2500,,,,29,5,20g,,20,Concealer,Face,4
Shills Professional UV LED Gel Nail Polish,Shills,Professional UV LED Gel Nail Polish,,499,,,215,206,36,15ml,15,,Nail Polish,Nails,4.2
Insight Professional Peptide Infused Aqua Lip Drip,Insight,Professional Peptide Infused Aqua Lip Drip,,284,299,0.05,4,53,20,10ml,10,,Lip Gloss,Lips,4.6
"Olay Total Effects BB Cream With SPF15, Fights 7 Signs of Ag...",Olay,"Total Effects BB Cream With SPF15, Fights 7 Signs of Ag...",,899,999,0.10,,856,92,50gm,,50,BB & CC Cream,Face,4.1
Renee Cosmetics See Me Shine Lip Gloss,Renee,Cosmetics See Me Shine Lip Gloss,,289,350,0.17,9,9949,750,2.5ml,2.5,,Lip Gloss,Lips,4.2
KIRO Ph Jelly Twist Colour Adapting Lip Balm,KIRO,Ph Jelly Twist Colour Adapting Lip Balm,,680,800,0.15,5,86,41,3g,,3,Lip Balm,Lip Care,4.4
PAC Spotlight Blush,PAC,Spotlight Blush,,565,595,0.05,12,434,30,10.6 g,,10.6,Blush,Face,4.4
Charmacy Milano Star Dust Highlighter,Charmacy,Milano Star Dust Highlighter,,827,899,0.08,10,148,38,4.2g,,4.2,Highlighters,Face,4.5
Charlotte Tilbury Lip Lustre,Charlotte,Tilbury Lip Lustre,,2600,,,8,4884,81,3.5ml,3.5,,Lip Gloss,Lips,4.1
Makeup Revolution Reloaded Eyeshadow Palette - Provocative,Makeup,Revolution Reloaded Eyeshadow Palette - Provocative,,609,699,0.13,,5,1,16.5g,,16.5,Eye Shadow,Eyes,5
Swiss Beauty Select Game Changer Strobe Cream,Swiss,Beauty Select Game Changer Strobe Cream,,506,550,0.08,2,125,115,35g,,35,Highlighters,Face,4.9
KIRO Ph Play Lip & Cheek Oil,KIRO,Ph Play Lip & Cheek Oil,,720,800,0.10,4,3171,249,5.5ml,5.5,,Lip Gloss,Lips,4.4
Charmacy Milano Diamond Rush Lipstick,Charmacy,Milano Diamond Rush Lipstick,,674,749,0.10,6,64,20,3.8g,,3.8,Lipstick,Lips,4.3
PAC IRIS LUXE Daily Lenses Amber - Comfortable Natural Looki...,PAC,IRIS LUXE Daily Lenses Amber - Comfortable Natural Looki...,,300,,,,102,30,1 pair,,,Contact Lenses,Eyes,4.5
Recode Strobe Cream,Recode,Strobe Cream,,297,349,0.15,2,487,13,19ml,19,,Face Primer,Face,4.1
Swiss Beauty Waterproof Bridal Glam Liquid Sindoor,Swiss,Beauty Waterproof Bridal Glam Liquid Sindoor,,129,,,2,865,54,8ml,8,,Sindoor,Face,4.3
Maybelline New York Intense Colour Colossal Matte Finish Kaj...,Maybelline,New York Intense Colour Colossal Matte Finish Kaj...,,318,398,0.20,,3745,96,0.35g Each,,0.35,Kajal,Eyes,4.4
"Lovechild Masaba Lip Gloss Oil, Tinted Lip Gelato Enriched w...",Lovechild,"Masaba Lip Gloss Oil, Tinted Lip Gelato Enriched w...",,800,1000,0.20,10,299,67,5ml,5,,Lip Gloss,Lips,4.3
PAC On The Go Glam Eyeshadow Palette,PAC,On The Go Glam Eyeshadow Palette,,1895,,,2,22,9,18g,,18,Eye Shadow,Eyes,4.9
DIOR Forever Skin Perfect Foundation,DIOR,Forever Skin Perfect Foundation,NEW,6200,,,5,6,1,10g,,10,Foundation,Face,4.3
Swiss Beauty Bold Eyes Super Lash Mascara Waterproof - Black,Swiss,Beauty Bold Eyes Super Lash Mascara Waterproof - Black,,275,299,0.08,,3544,175,7.5ml,7.5,,Mascara,Eyes,4.3
Anastasia Beverly Hills Brow Wiz,Anastasia,Beverly Hills Brow Wiz,,1488,2480,0.40,4,150,19,0.085gm,,0.085,Eye Brow Enhancers,Eyes,4.4
Colorbar Ultimate Eye Liner,Colorbar,Ultimate Eye Liner,,638,750,0.15,1,168918,1269,1ml,1,,Eyeliner,Eyes,4.3
TEMPTU Pro Silicon Based S/B Foundation,TEMPTU,Pro Silicon Based S/B Foundation,,3326,3695,0.10,5,1970,10,30ml,30,,Foundation,Face,4.3
Nykaa Cosmetics Unicorn Potion Nail Enamel,Nykaa,Cosmetics Unicorn Potion Nail Enamel,,199,249,0.20,5,73980,2342,9ml,9,,Nail Polish,Nails,4.5
Lovechild Masaba Kajal - Nazar Na Lage - Coal Black,Lovechild,Masaba Kajal - Nazar Na Lage - Coal Black,,372,400,0.07,,656,65,0.35g,,0.35,Kajal,Eyes,4.1
GLAM21 Floral Hues Eyeshadow Palette,GLAM21,Floral Hues Eyeshadow Palette,,171,219,0.22,6,608,85,7.2g,,7.2,Eye Shadow,Eyes,4.4
M.A.C Eye Kohl,M.A.C,Eye Kohl,,2050,,,3,1435,39,1.36g,,1.36,Kajal,Eyes,4.1
PAC Intense Gel Colored Eye Pencil,PAC,Intense Gel Colored Eye Pencil,,446,495,0.10,6,13,7,1.2g,,1.2,Kajal,Eyes,4.9
MARS Cover Rangers Concealer Palette,MARS,Cover Rangers Concealer Palette,,569,599,0.05,2,376,35,24 g,,24,Concealer,Face,4.4
VERYMISS Best Selling Makeup Combo - 2,VERYMISS,Best Selling Makeup Combo - 2,,646,710,0.09,,181,29,250g,,250,Makeup Kits,Makeup Kits & Combos,4.3
Colors Queen Color It All Non Transfer Matte Lip Crayon,Colors,Queen Color It All Non Transfer Matte Lip Crayon,,251,349,0.28,25,916,133,3.5g,,3.5,Lip Crayon,Lips,4.3
M.A.C Extended Play Gigablack Lash - Extended Play Gigablack...,M.A.C,Extended Play Gigablack Lash - Extended Play Gigablack...,,2700,,,,175,23,5.7gm,,5.7,Mascara,Eyes,4.4
"PAC Pro-Xclusive Series - Ultra Luxe Ergonomic Handles, Feat...",PAC,"Pro-Xclusive Series - Ultra Luxe Ergonomic Handles, Feat...",,9795,,,,36,9,32 pcs,,,Brush Sets,Tools & Brushes,4.3
Lakme Ultimate Glam Highlighter,Lakme,Ultimate Glam Highlighter,,450,500,0.10,2,39508,649,4g,,4,Blush,Face,4.2
MORPHE Wakeup Artist Under Eye Correcting Concealer,MORPHE,Wakeup Artist Under Eye Correcting Concealer,NEW,1200,,,19,6,3,3.78ml,3.78,,Concealer,Face,4.8
Makeup Revolution Fast Base Contour Stick,Makeup,Revolution Fast Base Contour Stick,,755,795,0.05,3,618,30,8.6g,,8.6,Contour,Face,4
FYOLI Concealer Makeup Brush,FYOLI,Concealer Makeup Brush,,65,,,,42,6,1 pc,,,Face Brush,Tools & Brushes,3.7
PAC Spotlight Loose Powder,PAC,Spotlight Loose Powder,,1195,,,3,379,31,9 g,,9,Loose Powder,Face,4.5
MARS Professional Fan Highlighting Brush,MARS,Professional Fan Highlighting Brush,,199,,,,279,26,12 g,,12,Face Brush,Tools & Brushes,4.4
Nykaa Glamoreyes Waterproof & Smudgeproof Shimmer Eye Pencil,Nykaa,Glamoreyes Waterproof & Smudgeproof Shimmer Eye Pencil,,357,549,0.35,10,219120,3023,1.2g,,1.2,Kajal,Eyes,4.4
Makeup Revolution Forever Flawless Palette,Makeup,Revolution Forever Flawless Palette,,1535,1750,0.12,2,29,5,19.8g,,19.8,Eye Shadow,Eyes,4.5
SUGAR POP Nail Lacquer,SUGAR,POP Nail Lacquer,,117,129,0.09,35,16469,1031,10ml,10,,Nail Polish,Nails,4.4
"Lakme Rouge Bloom Eyeshadow Pro-Palette, 18  For Infin...",Lakme,"Rouge Bloom Eyeshadow Pro-Palette, 18  For Infin...",,1619,1799,0.10,,181,109,27g,,27,Eye Shadow,Eyes,4.7
L'Oreal Paris Infaillible Grip Upto 36H Gel Automatic Eye Li...,L'Oreal,Paris Infaillible Grip Upto 36H Gel Automatic Eye Li...,,899,,,4,93,11,5g,,5,Eyeliner,Eyes,4.3
PAC IRIS LUXE Daily Lenses Moonstone - Comfortable Natural L...,PAC,IRIS LUXE Daily Lenses Moonstone - Comfortable Natural L...,,300,,,,195,30,1 pair,,,Contact Lenses,Eyes,4.6
Kylie Cosmetics Supple Kiss Lip Glaze Lip Gloss,Kylie,Cosmetics Supple Kiss Lip Glaze Lip Gloss,NEW,2000,,,6,5,2,3ml,3,,Lip Gloss,Lips,4.6
Nykaa Glitter Nail Enamel - Super LIT 459,Nykaa,Glitter Nail Enamel - Super LIT 459,,212,249,0.15,,10307,1084,9ml,9,,Nail Polish,Nails,4.4
Lakme Eyeconic Power Pack Combo,Lakme,Eyeconic Power Pack Combo,,1061,1220,0.13,,355680,6440,3 pcs,,,Makeup Combos,Makeup Kits & Combos,4.4
Makeup Cosmetics Storage case with adjustable compartment - ...,Makeup,Cosmetics Storage case with adjustable compartment - ...,,1200,1700,0.29,,1100,86,,,,Makeup Pouches,Tools & Brushes,3.9
Nudestix Nudies Glow All Over Face Color,Nudestix,Nudies Glow All Over Face Color,,2952,3690,0.20,2,452,75,8gm,,8,Highlighters,Face,4.4
Recode No Hue Matte Setting Powder,Recode,No Hue Matte Setting Powder,,569,599,0.05,,313,16,12 g,,12,Loose Powder,Face,4.4
Daily Life Forever5how Stopper Liquid Matte,Daily,Life Forever5how Stopper Liquid Matte,,809,899,0.10,15,774,39,5ml,5,,Liquid Lipstick,Lips,4.4
C2P Pro Uptown Loose Glitter for Eye Makeup Highly Pigmented...,C2P,Pro Uptown Loose Glitter for Eye Makeup Highly Pigmented...,,295,399,0.26,17,362,24,3.5g,,3.5,Eye Shadow,Eyes,4.3
Bronson Professional Premium Beauty Blender Makeup Sponge Ap...,Bronson,Professional Premium Beauty Blender Makeup Sponge Ap...,,97,325,0.70,,199,18,50 g,,50,Sponges & Applicators,Tools & Brushes,4
Colorbar 24Hrs Weightless Liquid Foundation,Colorbar,24Hrs Weightless Liquid Foundation,,1274,1499,0.15,10,1879,116,25ml,25,,Foundation,Face,4.3
ETUDE Color Lasting Glow Stick - 01 Rose Berry,ETUDE,Color Lasting Glow Stick - 01 Rose Berry,,1035,1150,0.10,6,49,18,3.2g,,3.2,Lipstick,Lips,4.7
Lakme Rouge Bloom Matte Lip Liquid,Lakme,Rouge Bloom Matte Lip Liquid,,1079,1199,0.10,16,246,169,3.5ml,3.5,,Liquid Lipstick,Lips,4.7
Blue Heaven Roseate Soft Matte Lipstick,Blue,Heaven Roseate Soft Matte Lipstick,,254,325,0.22,12,38,11,4g,,4,Lipstick,Lips,4.2
Miss Claire Waterproof Eyebrow Pencil With Mascara Brush,Miss,Claire Waterproof Eyebrow Pencil With Mascara Brush,,108,135,0.20,3,72610,3024,1.4g,,1.4,Eye Brush,Tools & Brushes,4.4
Maybelline New York Too Glam to give a Damn Kit,Maybelline,New York Too Glam to give a Damn Kit,,3011,4014,0.25,,45,12,49.5g,,49.5,Makeup Kits,Makeup Kits & Combos,4.3
MARS Hyper Smooth Water Resistant Eyeliner,MARS,Hyper Smooth Water Resistant Eyeliner,,189,199,0.05,,741,70,10 g,,10,Eyeliner,Eyes,4.2
Swiss Beauty Perfect Match Penstick,Swiss,Beauty Perfect Match Penstick,,275,299,0.08,3,7964,248,7.5g,,7.5,Concealer,Face,4.3
Carlton London Creamy Matte Stick Lipsticks Transferproof & ...,Carlton,London Creamy Matte Stick Lipsticks Transferproof & ...,,897,1495,0.40,,92,44,13.6g,,13.6,Makeup Kits,Makeup Kits & Combos,4.5
PAC Strobing Cream Mini,PAC,Strobing Cream Mini,,275,,,3,2944,161,5ml,5,,Highlighters,Face,4.2
"Plum Color Affair 3-in-1 Strengthener, Base & Top Coat",Plum,"Color Affair 3-in-1 Strengthener, Base & Top Coat",,191,225,0.15,,3240,318,11ml,11,,Nail Polish,Nails,4.5
Nykaa Cosmetics Star Studded Glitter Coat Nail Enamel,Nykaa,Cosmetics Star Studded Glitter Coat Nail Enamel,,187,249,0.25,3,25592,735,9ml,9,,Nail Polish,Nails,4.5
Too Faced Chocolate Soleil Melting Bronzing & Sculpting Stic...,Too,Faced Chocolate Soleil Melting Bronzing & Sculpting Stic...,,3500,,,3,6,3,8 g,,8,Contour,Face,5
Daily Life Forever52 Flourish Cream Contour,Daily,Life Forever52 Flourish Cream Contour,,674,749,0.10,1,449,46,16ml,16,,Contour,Face,4.5
Colors Queen Affair Nail Lacquer Combo of 3,Colors,Queen Affair Nail Lacquer Combo of 3,,387,537,0.28,18,264,25,39ml,39,,Nail Polish,Nails,4
Bella Vita Organic Intense Drama Waterproof Eyeliner,Bella,Vita Organic Intense Drama Waterproof Eyeliner,,189,275,0.31,4,250,70,3.5ml,3.5,,Eyeliner,Eyes,4.4
Nykaa Cosmetics Magic Cover Full Coverage Matte Cushion Foun...,Nykaa,Cosmetics Magic Cover Full Coverage Matte Cushion Foun...,NEW,637,749,0.15,,31,16,15ml,15,,Foundation,Face,4.5
"Just Herbs Ayurvedic Lipstick Kit, Matte Finish, Long-lastin...",Just,"Herbs Ayurvedic Lipstick Kit, Matte Finish, Long-lastin...",,437,575,0.24,,16585,2366,9.5g,,9.5,Lipstick,Lips,3.9
MARS Wonder Cover Liquid Concealer,MARS,Wonder Cover Liquid Concealer,,189,199,0.05,6,1141,84,12ml,12,,Concealer,Face,4.1
MORPHE Hot Shot Blush Drops,MORPHE,Hot Shot Blush Drops,NEW,1500,,,5,3,1,15ml,15,,Blush,Face,4.7
Pilgrim Glitter Matte Lipstick Best Seller Combo The Khalifa...,Pilgrim,Glitter Matte Lipstick Best Seller Combo The Khalifa...,,968,1290,0.25,,327,98,,,,Makeup Combos,Makeup Kits & Combos,4.4
Blue Heaven Get Bold Mascara,Blue,Heaven Get Bold Mascara,,67,70,0.05,,3161,135,6.5ml,6.5,,Mascara,Eyes,4.1
Charlotte Tilbury Airbrush Flawless Setting Spray Duo Kit,Charlotte,Tilbury Airbrush Flawless Setting Spray Duo Kit,NEW,2805,3300,0.15,,2,,68ml,68,,Makeup Kits,Makeup Kits & Combos,5
